fecha,total_usuarios,total_acumulado
2026-05-03,1,1
2026-05-04,0,1
2026-05-05,1,2
2026-05-06,1,3
2026-05-07,0,3
2026-05-08,0,3
2026-05-09,0,3
2026-05-10,0,3
2026-05-11,1,4
2026-05-12,0,4
2026-05-13,0,4
2026-05-14,0,4
2026-05-15,0,4
2026-05-16,0,4
2026-05-17,0,4
2026-05-18,0,4
2026-05-19,0,4
2026-05-20,0,4
2026-05-21,0,4
2026-05-22,0,4
2026-05-23,0,4
2026-05-24,0,4
2026-05-25,0,4
2026-05-26,0,4
2026-05-27,0,4
2026-05-28,0,4
2026-05-29,0,4
2026-05-30,0,4
2026-05-31,0,4
2026-06-01,0,4
2026-06-02,0,4
2026-06-03,0,4
2026-06-04,0,4
2026-06-05,0,4
2026-06-06,0,4
2026-06-07,2,6
2026-06-08,1,7
